"ItemIndex","ItemShape","CosShape"
"3176","523","0"
"3177","523","0"
"3951","783","0"
"3952","782","0"
"3953","781","0"
"3954","780","0"
"3955","779","0"
"3956","778","0"
"3957","777","0"
"3958","776","0"
"3959","596","0"
"3960","595","0"
"3961","594","0"
"3962","593","0"
"3963","780","0"
"3964","781","0"
"3965","778","0"
"3966","596","0"
"3967","595","0"
"3968","579","0"
"3969","581","0"
"3970","580","0"
"3971","1389","0"
"3972","1386","0"
"3973","1387","0"
"3974","1387","0"
"3978","1386","0"
"48000","670","0"
"48001","670","0"
"48002","670","0"
"48003","670","0"
"48004","670","0"
"48005","670","0"
"48006","670","0"
"48007","670","0"
"48008","670","0"
"48009","668","0"
"48010","668","0"
"48011","668","0"
"48012","668","0"
"48013","668","0"
"48014","668","0"
"48015","668","0"
"48016","668","0"
"48017","668","0"
"48018","667","0"
"48019","667","0"
"48020","667","0"
"48021","667","0"
"48022","667","0"
"48023","667","0"
"48024","667","0"
"48025","667","0"
"48026","667","0"
"48027","666","0"
"48028","666","0"
"48029","666","0"
"48030","666","0"
"48031","666","0"
"48032","666","0"
"48033","666","0"
"48034","666","0"
"48035","666","0"
"48036","665","0"
"48037","665","0"
"48038","665","0"
"48039","665","0"
"48040","665","0"
"48041","665","0"
"48042","665","0"
"48043","665","0"
"48044","665","0"
"48045","664","0"
"48046","664","0"
"48047","664","0"
"48048","664","0"
"48049","664","0"
"48050","664","0"
"48051","664","0"
"48052","664","0"
"48053","664","0"
"48054","663","0"
"48055","663","0"
"48056","663","0"
"48057","663","0"
"48058","663","0"
"48059","663","0"
"48060","663","0"
"48061","663","0"
"48062","663","0"
"48063","622","0"
"48064","622","0"
"48065","622","0"
"48066","622","0"
"48067","622","0"
"48068","622","0"
"48069","622","0"
"48070","622","0"
"48071","622","0"
"48072","620","0"
"48073","620","0"
"48074","620","0"
"48075","620","0"
"48076","620","0"
"48077","620","0"
"48078","620","0"
"48079","620","0"
"48080","620","0"
"48081","619","0"
"48082","619","0"
"48083","619","0"
"48084","619","0"
"48085","619","0"
"48086","619","0"
"48087","619","0"
"48088","619","0"
"48089","619","0"
"48090","618","0"
"48091","618","0"
"48092","618","0"
"48093","618","0"
"48094","618","0"
"48095","618","0"
"48096","618","0"
"48097","618","0"
"48098","618","0"
"48099","617","0"
"48100","617","0"
"48101","617","0"
"48102","617","0"
"48103","617","0"
"48104","617","0"
"48105","617","0"
"48106","617","0"
"48107","617","0"
"48108","616","0"
"48109","616","0"
"48110","616","0"
"48111","616","0"
"48112","616","0"
"48113","616","0"
"48114","616","0"
"48115","616","0"
"48116","616","0"
"48117","615","0"
"48118","615","0"
"48119","615","0"
"48120","615","0"
"48121","615","0"
"48122","615","0"
"48123","615","0"
"48124","615","0"
"48125","615","0"
"48126","654","0"
"48127","654","0"
"48128","654","0"
"48129","654","0"
"48130","654","0"
"48131","654","0"
"48132","654","0"
