Index,game/mesh,tpack,effect,effect_add,inv/mesh,tpack,cashshop/belt/scale,twoside,field/mesh,tpack,twoside,x,y,z,scale,rot-dir,degree,effect,Lod,Costype,Boneindex,Targeteffect,game/mesh,tpack,effect,effect_add
1,Monster\Pet22_fafnir_inv.mesh,Monster\Pet22_fafnir.tpack,0,0,Monster\Pet22_fafnir_inv.mesh,Monster\Pet22_fafnir.tpack,0.5,TRUE,,,,0,0.3,0,1,y,90,1,,0,0,0,,,0,0
2,Monster\Pet21_ducemable_inv.mesh,Monster\Pet21_ducemable.tpack,0,0,Monster\Pet21_ducemable_inv.mesh,Monster\Pet21_ducemable.tpack,0.5,TRUE,,,,0,0.3,0,1,y,90,1,,0,0,0,,,0,0
3,Monster\Pet20_ilias_inv.mesh,Monster\Pet20_ilias.tpack,0,0,Monster\Pet20_ilias_inv.mesh,Monster\Pet20_ilias.tpack,0.5,TRUE,,,,0,0.3,0,1,y,90,1,,0,0,0,,,0,0
4,Item\Weapon\wip\ATT_EQU_WIP_DF.mesh,,0,0,Item\Weapon\wip\ATT_INV_WIP_DF.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
5,Item\Weapon\Wip\ATT_EQU_WIP_22_10.mesh,Item\Weapon\Wip\ATT_EQU_WIP_22.tpack,6,0,Item\Weapon\Wip\ATT_INV_WIP_22.mesh,Item\Weapon\Wip\ATT_EQU_WIP_22.tpack,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
6,Item\Weapon\Wip\ATT_EQU_WIP_21_10.mesh,Item\Weapon\Wip\ATT_EQU_WIP_21.tpack,6,0,Item\Weapon\Wip\ATT_INV_WIP_21.mesh,Item\Weapon\Wip\ATT_INV_WIP_21.tpack,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
7,Item\Weapon\Wip\ATT_EQU_WIP_21_10.mesh,Item\Weapon\Wip\ATT_EQU_WIP_21.tpack,6,0,Item\Weapon\Wip\ATT_INV_WIP_21.mesh,Item\Weapon\Wip\ATT_INV_WIP_21.tpack,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
8,Item\Weapon\wip\ATT_EQU_wip_20.mesh,,0,0,Item\Weapon\wip\ATT_INV_wip_20.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
9,Item\Weapon\wip\ATT_EQU_wip_19.mesh,,0,0,Item\Weapon\wip\ATT_INV_wip_19.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
10,Item\Weapon\wip\ATT_EQU_wip_18.mesh,,0,0,Item\Weapon\wip\ATT_INV_wip_18.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
