ItemIndex,Name,Rank,Type,Code,Attribute,Description,Quality,Job,ItemShape,CosShape,Action_Index,Appraisal,Union_Set_Index,Value1,Value2,Trade,ReqLv,ReqHLv,Price,Width,Height,StackNumber,AutoStack,StackDrop_Min,StackDrop_Max,DropRate_LowQuality,DropRate_NormalQuality,DropRate_HighQuality,GroupIndex,No Data,Wear : Range,Wear : Speed,Wear : CriticalRate,Wear : Drop LV,Wear : Drop Option Number,Wear : Drop Socket 1EA Rate,Wear : Drop Socket 2EA Rate,Wear : Drop Socket 3EA Rate,Wear : Drop Socket 4EA Rate,Wear : Small Monster Attack Addition,Wear : Middle Monster Attack Addition,Wear : Large Monster Attack Addition,Wear : Boss Monster Attack Addition,Wear : Undead Monster Attack Addition,Option Index 1,Option Value 1,Option Index 2,Option Value 2,Option Index 3,Option Value 3,Option Index 4,Option Value 4,Option Index 5,Option Value 5,Option Index 6,Option Value 6,Expansion Option Index 1,Expansion Option Value 1,Expansion Option Index 2,Expansion Option Value 2,Expansion Option Index 3,Expansion Option Value 3,Expansion Option Index 4,Expansion Option Value 4,Expansion Option Index 5,Expansion Option Value 5,Expansion Option Index 6,Expansion Option Value 6,MinOption1,MaxOption1,MinOption2,MaxOption2,MinOption3,MaxOption3,Level 0 Item LV,Level 0 Melee Min Attack,Level 0 Melee Max Attack,Level 0 Magic Min Attack,Level 0 Magic Max Attack,Level 0 Range Min Attack,Level 0 Range Max Attack,PVP Option Damage,Level 0 Defence Min,Level 0 Defence Max,PVP Option Defence,Level 0 Blocking Rate,Level 0 Critical Bonus,Level 0 Str Request,Level 0 Dex Request,Level 0 Spr Request,Level 0 Appraisal Addition,BeforeLevelIndex,NextLevelIndex,Period,IsLimit,PeriodBreak,Belong,NextShape,ReqGrade,PurchasePoint,ChoiceLimit,PurchaseLimit,PointLimit,NPC SELL
6301,Health Stone 19,0,1,0,1,482,34,1111-1111-1111-1111-1111-1111-1111-1111,525,0,0,1500,0,1,0,1,0,0,10,1,1,0,0,1,1,0,0,0,0,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6302,Mana Stone 15,0,1,0,2,482,34,1111-1111-1111-1111-1111-1111-1111-1111,523,0,0,1500,0,2,0,1,0,0,10,1,1,0,0,1,1,0,0,0,0,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6303,Red Star 2,0,1,0,0,482,34,1111-1111-1111-1111-1111-1111-1111-1111,521,0,0,1500,0,3,0,1,0,0,10,1,1,0,0,1,1,0,0,0,0,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6304,Yellow Star 2,0,1,0,0,482,34,1111-1111-1111-1111-1111-1111-1111-1111,522,0,0,1500,0,4,0,1,0,0,10,1,1,0,0,1,1,0,0,0,0,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6305,Green Star 2,0,1,0,0,482,34,1111-1111-1111-1111-1111-1111-1111-1111,519,0,0,1500,0,5,0,1,0,0,10,1,1,0,0,1,1,0,0,0,0,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6306,Blue Star 2,0,1,0,0,482,34,1111-1111-1111-1111-1111-1111-1111-1111,520,0,0,1500,0,6,0,1,0,0,10,1,1,0,0,1,1,0,0,0,0,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6307,Rhombus 9/11,0,1,0,1,482,34,1111-1111-1111-1111-1111-1111-1111-1111,517,0,0,1500,0,7,0,1,0,0,10,1,1,0,0,1,1,0,0,0,0,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,9,226,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6308,Max Rhombus 5,0,1,0,1,482,34,1111-1111-1111-1111-1111-1111-1111-1111,518,0,0,1500,0,8,0,1,0,0,10,1,1,0,0,1,1,0,0,0,0,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6309,Pyramid 10,0,1,0,2,482,34,1111-1111-1111-1111-1111-1111-1111-1111,515,0,0,1500,0,9,0,1,0,0,10,1,1,0,0,1,1,0,0,0,0,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6310,Max Pyramid 5,0,1,0,2,482,34,1111-1111-1111-1111-1111-1111-1111-1111,516,0,0,1500,0,10,0,1,0,0,10,1,1,0,0,1,1,0,0,0,0,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6311,Medial 10,0,1,0,3,482,34,1111-1111-1111-1111-1111-1111-1111-1111,513,0,0,1500,0,12,0,1,0,0,10,1,1,0,0,1,1,0,0,0,0,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6312,Max Medial 4,0,1,0,3,482,34,1111-1111-1111-1111-1111-1111-1111-1111,514,0,0,1500,0,11,0,1,0,0,10,1,1,0,0,1,1,0,0,0,0,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6313,Attack Cube 5%,0,1,0,2,484,34,1111-1111-1111-1111-1111-1111-1111-1111,510,0,0,1500,0,13,0,1,0,0,10,1,1,0,0,1,1,0,0,0,0,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6314,Defense Cube 15,0,1,0,2,482,34,1111-1111-1111-1111-1111-1111-1111-1111,511,0,0,1500,0,14,0,1,0,0,10,1,1,0,0,1,1,0,0,0,0,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6315,Attack Bead 5%,0,1,0,1,484,34,1111-1111-1111-1111-1111-1111-1111-1111,509,0,0,1500,0,16,0,1,0,0,10,1,1,0,0,1,1,0,0,0,0,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6316,Defense Bead 15,0,1,0,1,482,34,1111-1111-1111-1111-1111-1111-1111-1111,507,0,0,1500,0,15,0,1,0,0,10,1,1,0,0,1,1,0,0,0,0,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6317,Attack Sphere 5%,0,1,0,3,484,34,1111-1111-1111-1111-1111-1111-1111-1111,504,0,0,1500,0,17,0,1,0,0,10,1,1,0,0,1,1,0,0,0,0,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
