ItemIndex,Name,Rank,Type,Code,Attribute,Description,Quality,Job,ItemShape,CosShape,Action_Index,Appraisal,Union_Set_Index,Value1,Value2,Trade,ReqLv,ReqHLv,Price,Width,Height,StackNumber,AutoStack,StackDrop_Min,StackDrop_Max,DropRate_LowQuality,DropRate_NormalQuality,DropRate_HighQuality,GroupIndex,NoData,Wear : Range,Wear : Speed,Wear : CriticalRate,Wear : Drop LV,Wear : Drop Option Number,Wear : Drop Socket 1EA Rate,Wear : Drop Socket 2EA Rate,Wear : Drop Socket 3EA Rate,Wear : Drop Socket 4EA Rate,Wear : Small Monster Attack Addition,Wear : Middle Monster Attack Addition,Wear : Large Monster Attack Addition,Wear : Boss Monster Attack Addition,Wear : Undead Monster Attack Addition,Option Index 1,Option Value 1,Option Index 2,Option Value 2,Option Index 3,Option Value 3,Option Index 4,Option Value 4,Option Index 5,Option Value 5,Option Index 6,Option Value 6,Expansion Option Index 1,Expansion Option Value 1,Expansion Option Index 2,Expansion Option Value 2,Expansion Option Index 3,Expansion Option Value 3,Expansion Option Index 4,Expansion Option Value 4,Expansion Option Index 5,Expansion Option Value 5,Expansion Option Index 6,Expansion Option Value 6,MinOption1,MaxOption1,MinOption2,MaxOption2,MinOption3,MaxOption3,Level 0 Item LV,Level 0 Melee Min Attack,Level 0 Melee Max Attack,Level 0 Magic Min Attack,Level 0 Magic Max Attack,Level 0 Range Min Attack,Level 0 Range Max Attack,PVP Option Damage,Level 0 Defence Min,Level 0 Defence Max,PVP Option Defence,Level 0 Blocking Rate,Level 0 Critical Bonus,Level 0 Str Request,Level 0 Dex Request,Level 0 Spr Request,Level 0 Appraisal Addition,BeforeLevelIndex,NextLevelIndex,Period,IsLimit,PeriodBreak,Belong,NextShape,ReqGrade,PurchasePoint,ChoiceLimit,PurchaseLimit,PointLimit,NPC SELL
2401,Shave Dagger,0,4,0,0,0,2,1111-1111-1111-1111,148,0,0,0,0,0,0,1,1,0,6,1,2,0,0,1,1,3,2,1,0,3150,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,2540,2540,2580,2580,0,15,16,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,25001,0,0,1,0,0,0,0,0,0,0,1
25001,Shave Dagger +1,0,4,0,0,0,2,1111-1111-1111-1111,148,0,0,0,0,0,0,1,1,0,6,1,2,0,0,1,1,3,2,1,0,3150,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,2540,2540,2580,2580,1,19,21,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2401,25002,0,0,1,0,0,0,0,0,0,0,1
25002,Shave Dagger +2,0,4,0,0,0,2,1111-1111-1111-1111,148,0,0,0,0,0,0,1,1,0,6,1,2,0,0,1,1,3,2,1,0,3150,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,2540,2540,2580,2580,2,26,29,0,0,0,0,0,0,0,0,0,0,3,2,0,0,25001,25003,0,0,1,0,0,0,0,0,0,0,1
25003,Shave Dagger +3,0,4,0,0,0,2,1111-1111-1111-1111,148,0,0,0,0,0,0,1,1,0,6,1,2,0,0,1,1,3,2,1,0,3150,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,2540,2540,2580,2580,3,36,40,0,0,0,0,0,0,0,0,0,0,3,2,0,0,25002,25004,0,0,1,0,0,0,0,0,0,0,1
25004,Shave Dagger +4,0,4,0,0,0,2,1111-1111-1111-1111,148,0,0,0,0,0,0,1,1,0,6,1,2,0,0,1,1,3,2,1,0,3150,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,2540,2540,2580,2580,4,52,57,0,0,0,0,0,0,0,0,0,0,3,2,0,0,25003,25005,0,0,1,0,0,0,0,0,0,0,1
25005,Shave Dagger +5,0,4,0,0,0,2,1111-1111-1111-1111,148,0,0,0,0,0,0,1,1,0,6,1,2,0,0,1,1,3,2,1,0,3150,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,2540,2540,2580,2580,5,73,79,0,0,0,0,0,0,0,0,0,0,3,2,0,0,25004,25006,0,0,1,0,0,0,0,0,0,0,1
25006,Shave Dagger +6,0,4,0,0,0,2,1111-1111-1111-1111,148,0,0,0,0,0,0,1,1,0,6,1,2,0,0,1,1,3,2,1,0,3150,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,2540,2540,2580,2580,6,102,109,0,0,0,0,0,0,0,0,0,0,3,2,0,0,25005,25007,0,0,1,0,0,0,0,0,0,0,1
25007,Shave Dagger +7,0,4,0,0,0,2,1111-1111-1111-1111,148,0,0,0,0,0,0,1,1,0,6,1,2,0,0,1,1,3,2,1,0,3150,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,2540,2540,2580,2580,7,141,150,0,0,0,0,0,0,0,0,0,0,3,2,0,0,25006,25008,0,0,1,0,0,0,0,0,0,0,1
25008,Shave Dagger +8,0,4,0,0,0,2,1111-1111-1111-1111,148,0,0,0,0,0,0,1,1,0,6,1,2,0,0,1,1,3,2,1,0,3150,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,2540,2540,2580,2580,8,196,206,0,0,0,0,0,0,0,0,0,0,3,2,0,0,25007,25009,0,0,1,0,0,0,0,0,0,0,1
25009,Shave Dagger +9,0,4,0,0,0,2,1111-1111-1111-1111,148,0,0,0,0,0,0,1,1,0,6,1,2,0,0,1,1,3,2,1,0,3150,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,2540,2540,2580,2580,9,283,295,0,0,0,0,0,0,0,0,0,0,3,2,0,0,25008,0,0,0,1,0,0,0,0,0,0,0,1
2402,Claw Palkata,0,4,0,0,0,2,1111-1111-1111-1111,147,0,0,0,0,0,0,1,7,0,78,1,2,0,0,1,1,3,2,1,0,3150,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2501,2501,2541,2541,2581,2581,0,43,44,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,25021,0,0,1,0,0,0,0,0,0,0,1
